acteur,count
Cüneyt Arkin,250
Mohanlal,236
Brahmanandam,229
Mammootty,228
Mithun Chakraborty,226
Eric Roberts,217
Prakash Raj,170
Dharmendra,167
Amitabh Bachchan,166
Türkan Soray,156
Gérard Depardieu,149
Anupam Kher,143
Soumitra Chatterjee,140
Ashok Kumar,138
Michael Madsen,137
Rajinikanth,136
Simon Yam,135
Hülya Koçyigit,135
Sadri Alisik,135
Shakti Kapoor,133
Kamal Haasan,132
Andy Lau,131
Mohan Babu,131
Akshay Kumar,131
Fatma Girik,128
Shashi Kapoor,128
Nassar,127
Jayaram,127
Jeetendra,125
Rekha,124
Francisco Rabal,123
Prem Chopra,120
Anthony Chau-Sang Wong,119
Chiranjeevi,119
Prasenjit Chatterjee,118
Naseeruddin Shah,117
Jackie Shroff,116
José Luis López Vázquez,116
Gulshan Grover,115
Eric Tsang,114
Tom Sizemore,114
Nedumudi Venu,113
Sanjay Dutt,113
Michel Piccoli,113
Fernando Fernán Gómez,112
Govardhan Asrani,112
Marcello Mastroianni,112
Pran Sikand,111
Lieh Lo,111
Om Puri,111
Reha Yurdakul,110
Jagathy Sreekumar,110
Velimir 'Bata' Zivojinovic,109
Catherine Deneuve,109
Kadir Inanir,108
Tarik Akan,107
N.T. Rama Rao,106
Sridevi,106
Mohammad Ali,105
Aruna Irani,105
Dionysis Papagiannopoulos,105
Ajay Devgn,105
Rishi Kapoor,105
Suresh Gopi,105
Mario Almada,104
Ugo Tognazzi,104
Avinash,104
Franco Nero,103
Paresh Rawal,103
Luis Aguilar,103
Christopher Lee,102
Isabelle Huppert,102
Toshirô Mifune,102
Govinda,101
Turgut Özatay,100
Shatrughan Sinha,100
Fernando Rey,100
Aachi Manorama,100
Filiz Akin,100
Tanikella Bharani,100
Alberto Sordi,99
Ayhan Isik,99
Michel Serrault,98
Danny Trejo,98
Bernard Blier,98
Michel Galabru,97
Shabana Azmi,97
Louis Koo,97
Philippe Noiret,97
Michael Caine,96
Sanjeev Kumar,96
Mukesh,96
Raj Babbar,96
Ken Takakura,95
Lavrentis Dianellos,95
Tony Ka Fai Leung,95
Rajesh Khanna,95
Francis Ng,93
Nicolas Cage,93
Lance Henriksen,93
Bruce Willis,93
Jean-Louis Trintignant,92
Armen Dzhigarkhanyan,91
Anil Kapoor,91
Donald Sutherland,91
Münir Özkul,91
Malcolm McDowell,91
Harvey Keitel,90
John Savage,90
Alfredo Landa,90
Richard Harrison,90
Robert De Niro,89
David Carradine,89
Vinod Khanna,89
Lung Ti,88
Joaquín Cordero,88
Cameron Mitchell,88
Susan Sarandon,88
Andreas Barkoulis,88
Curd Jürgens,88
Ching Wan Lau,88
Hulusi Kentmen,87
Yilmaz Güney,87
Kartal Tibet,87
Chieko Baisho,87
Jaya Prada,86
André Dussollier,86
Willem Dafoe,86
Rentarô Mikuni,86
Siddique,86
Shin'ichi Chiba,86
Joe Estevez,86
Michael Paré,85
Vittorio Gassman,85
Dileep,85
Annie Girardot,85
Jackie Chan,85
Kaikala Satyanarayana,84
Sreenivasan,84
Anthony Quinn,84
Amrish Puri,84
Michael Wai-Man Chan,83
Martin Sheen,83
Antonio Aguilar,83
Armando Silvestre,83
Prithviraj Sukumaran,83
Suzan Avci,83
Bunta Sugawara,83
Salman Khan,83
Pedro Armendáriz Jr.,83
Mimis Fotopoulos,83
Jeanne Moreau,83
Donald Pleasence,83
Mario Adorf,83
Uttam Kumar,82
Fikret Hakan,82
Claude Brasseur,82
Nagesh,82
James Mason,82
Giancarlo Giannini,82
Claudia Cardinale,82
Hema Malini,82
Bruce Dern,81
Sung-Ki Ahn,81
Suniel Shetty,81
Daniel Auteuil,81
Chow Yun-Fat,81
Giannis Gionakis,80
Samuel L. Jackson,80
Max von Sydow,80
Udo Kier,79
Sunny Deol,79
Sammo Kam-Bo Hung,79
Kôji Tsuruta,79
John Hurt,79
Rajendra Prasad,78
Indrans,78
Armand Assante,78
Dennis Hopper,78
C. Thomas Howell,78
Karen Black,78
Robert Mitchum,78
Franco Franchi,78
Totò,77
Thanasis Vengos,77
Jean Rochefort,77
Man-Tat Ng,77
Christopher Plummer,77
Raizô Ichikawa,77
Antonio Banderas,77
Nagarjuna Akkineni,77
Nikos Rizos,76
Peter Coyote,76
Ernest Borgnine,76
Carmen Maura,76
Rakhee Gulzar,76
Germán Valdés,76
Sylva Koscina,76
Feng Ku,76
Sandra Kwan Yue Ng,76
